NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,433.35859987551873
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,437.4033549315563
b38a03232f43b11c9d0788abaf060f7366053b6d,650.4089104026607
715494628a50142ce8cb17191cfe6d0f3cae0934,562.6552116788288
e656d6bad65c93fb2880f1eba5037008c8e75774,467.2838212563942
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,545.36566956383
11539e86171bf07d3a36f09377d7f54ebcc8406a,436.28506280825314
043c544a2104aa8a9849f1a703a08d37a2f16839,470.83244288678674
76ba050e64ad100b856f0eaabd8f539d5c7dd185,455.0046585640379
940aede382ccb332fab15d413217695ec44ca765,453.2322935075197
9ad714b116da76d878dd399d187fccc2dd13dd63,618.8392486481579
dd34464a4d780b12a089347ad580418ac57a3055,520.7340448959898
f837a4cb05a5fd59d20138182f5e8c721eadd584,491.75502967001756
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,420.22060471564026
3d203727f27abd83b71732d88d8cb1cc099f363b,454.0970122242368
cbc301183dec912f3513ca766bf03dd565f3a38f,482.2964814670607
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,653.5619636056289
11282da1ee78c8db45a041db4c744e33df489df0,435.1338747650879
03c67f683a415c2ea09b582248bd4cb08528c19d,580.4329064697514
046e844fb06a07ba30b41521f0065a8d9c6e5024,424.23375220754997
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,441.9079371336383
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,416.93166609866586
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,569.7942470533364
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,483.355458977183
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,531.4675214991292
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,471.1202103736094
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,456.47377591741184
59bfa081e020013410d9f60f91813964ba749bb2,432.27203029188667
f5e069ee3bc95998464e8ff5da048b7f999921ed,445.9647309726095
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,631.1835256209807
664f44258212a1f7e4086f2b4845d586c543fa3f,468.8367381587472
265cd7befa74a9f2a198fc57baec9858075f8419,451.9128659958869
6f9ac44919bbd204e0ef15185388fd2d4bc61253,486.9780979846634
78de1ee60b55766cc3eba4089e36c57139b66ebd,452.73407217984425
1e61a474acdc043eb39a89c17fab34bd2ea1a940,431.14360885763995
940af68ded6af2875708611051aa7ff3f134d80b,483.77436146349396
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,467.6499381148113
c76ddf6e9f80984e901b12f9462a3cf029bea290,477.479782326464
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,452.9020365106656
92823d467a2ced9529801e0e8a94802dd88f0c17,437.58455870488086
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,548.1644657250109
413cbb38b2e2522f8167ffb9daeac1347b281393,472.47296389226716
68985fad004092956a4b4ce94dd53dc76d07eaf7,484.6772917706667
bdca9aeb19521675af15f2c28d86f6bebc45a834,476.5927368044239
b65b19d42b7a4b644fe9f99366dcb37b120862d9,426.48428617869513
eda898aa8ec465cbac70de72ead0c6d688e5f95a,437.0543134399844
8d5c4481d736f6ce27976e400f4245bf10757608,427.7105568318312
c4cea54435c0fd0e171eed4c215479bb3ca86113,442.80072126394856
7d5cd89c6112b9a202a025a24355135bc60848c6,475.7392408221065
b70ab62384aa80545928a311f5b5d3db2f4d87ee,541.2990578859084
c96431dd924f366d2229a7f1455388b8cd85be49,549.1110833503184
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,447.78370803448735
e724482370ae6126008ade80b564ad8d8a0a7cbd,445.5657608822052
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,650.1509889856194
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,479.14737086522615
7f898f8939ae054359f83ee154bb91bc7dd2c959,535.4616829206939
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,470.20968556684664
82e3b12c6366008fabc238f299f117074e78de5d,424.39632378021525
0d838be0e718ceb786cdb10fcc12559e00440240,484.50074389020205
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,486.37755721329336
c83fe640ba466ba904ac1055e53a875289888797,441.12536751022384
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,467.55045687598005
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,423.2200715943556
328639a0c753715c30a58bae70c82f2101153eb3,442.680194799734
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,515.6503670371254
f56746cc2900258507d2b32c126f8db090db856f,434.25432397717697
1a4963b5fea8bb25c67750cdafbe84b01efad177,430.83477883757536
b520c940e62f4ed684417e7eacf00d85752060da,491.07672584322785
2e170cf2651ed448991af6fc5df15167733b2d8f,481.2129313181403
6efdd93a0ae289be6bb5a400bfc1deb077d75886,424.1714210639989
72ac2acc787d8cba0934cca3810ac091d792c8db,545.3242989096109
92a25eee14554806f081869cc9dac868fd1860fb,428.87455613149814
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,425.14978872359546
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,449.62180555579295
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,526.9075715458551
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,437.97882073389957
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,463.9593696046351
1a46d99716282410d1170f0f35069b34e34415d4,445.4401022624342
0467e022da4ef897f666bc76f31e1bc8976f7e92,490.3268387380228
993aca0d5eac6741117947c82a3647102096255e,451.52995283417806
94c96ade6ade21deb080bba6aad537fc4f195d47,529.6931280625842
36bb672077a46a3e4755cef90437a616d28bdf23,437.10118690504106
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,413.2921142872312
328ca19128d276eb4fbc309c54ec7f346c803d2f,764.0520979078336
27cdb62f0a2a5467efeb30aafbf246ed2320c532,410.26229565719376
f9ef2695eb0986666093945894b8f2fee351bf22,492.4023815929722
8a021391cdaac100dab56c59284bd50137a74129,526.230275678107
b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,492.10464910254115
720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,444.40875421473436
b9f786712775e0d1d735398d710b01f404c985a3,425.8482092688525
564958997e204bda06fbe90afc4722805c78a855,612.6404047625011
36f38ea81d1305770cd5153f1e1667fe8a1eb47f,425.17430659968255
5a42c3f801e77d628649a6c34f3a4e5b80f232f7,479.357520318426
8296743fdd105ce9183561cf5b359b0a3781465e,434.7544080320463
6602c7f15a1fdd082265b64976448c6809df792d,444.44907648473344
31ae66f0fe024acae4490915c348e487f2367574,506.15017275365636
81901aa980653106e64863d957387d24e2c00af3,421.0346325416497
28e10d1bd0b6effe0edd503446ebda948ad240ad,436.51669617952535
53a7ee52a87f80241e2ca13c923e06b72bf3a059,425.3886343291364
0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,575.8788943772576
02681b5c893b94db204713cb4b20dde6fc3f2f95,539.6428774237019
6ce4c0e0784b3881b36b3d1c047ac6ad121681da,417.35005501641496
28c6829e69879bc1d34db1cd51b89562d3cc596b,521.4326194117375
ecb9f0d7a261c9f27865ea22f2e643701f721eb6,458.02307324730924
923538833160e8432636c88e8119378a43b3d766,441.2474565414091
aacb834258765a2959ee63c57d2be4923d11a696,463.9690779300135
c32e484025571dd94255a77f21de08ab8d2aaba8,486.87917896415473
d425deeec0a3c7006f14d732eff8933d5155067f,486.97223438459565
f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,475.2621607801727
716a178e9a6f7791b820da77879943ac9040a547,467.42949677673374
430212cd8767ef2bff8cda0f61729203fef7523e,437.4028984198093
e97d33221238e445688a0e984778d4ecac788be2,498.08415467196716
4bc5712bdb9067b1814e969e71d5cdad59bb38d4,495.1795883550672
0411742cbb54fe1b6927b25f0bb52b885828c828,434.6716048108448
780505a9d5fc3c6da53686c0cc8bd871f4db00bc,416.48964954016
e4e7a38b58319ad0a5cde4848622b21783c907e9,481.901973867188
9c5a0a82074c75cb072752d71da42b9c6c27b0a3,579.4752007890032
aec1b63c3f0c9554e533752d8fe138ca82101d4a,439.7670256233633
4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,480.81932583792576
4b48d500ba4410546ce01f7f6d44bcbafa73994f,430.9790387985432
edf33c347c866d26872f540bcc1f6ae415f3294c,454.3469625556732
54f4e6037b9d1eb4a2a134306d37176787f1c1d3,520.6788799373256
3a265ea6ebdc4eb2520db912adf5592f03b3d634,424.0688260557694
e418fbb77e6ff4103205f3b7f6a66d53183d809b,449.56828739304007
8ddbfe70cd41135cb6f125335a48d100789edbf7,417.50275351175316
1d3e406d0223d4cb0328850d689ba9fcadf62776,436.93987136234995
ecaf075653faf2dcdf946c0ce50629f5083347c0,454.2686287255
7a2bba61a48894f9bd6fc981f77f2b627b0d8ae6,486.994034166544
5b7877d12550dd35d27a02b66a13f2a27bce11ca,433.6353796561205
18f800ec03e33ebad5fb97aa8465dd3e5961337e,433.7032090361239
b05356be088f726b5ba7e0b0a9aa1b5cf4157b2a,476.72215893682005
cc8794762ffa592758b5117d67e0d02e2e8b9c49,505.3801695741313
894d277c608610fa8c31db531f64582b9569b2e9,431.07477673572674
b2e029961aa0f20071b74708e0d97e6f200ec582,461.75334114533354
12c7d85e168b09a0278df140a22bcb0052a59b0a,424.7657984316742
64c4892488a9c6281bdabf467a0b5a6382d248e6,467.4736109808844
ac112e94587e6e4249b7182329ee5a5040ae94ea,528.4916309999194
a58cf11e498228f9aaca92b0c49f955a6163fb59,441.24852635555925
e8c84701c041b7f3b39f3125a0449fa633589fbe,507.07580785675856
af8dd560d9ea4adcfd0d2b6b5f81f95fad9c3222,582.4104030561507
ac9cc7dbe0e70fb6717aa371a23aa75e6594ec02,435.11578878933796
